h,t,exacta,segunda_derivada,error
1,4.62,0.0922576,0.0848212,0.00743639
1,4.63,0.0822958,0.0756624,0.00663342
1,4.64,0.0723258,0.066496,0.00582979
1,4.65,0.0623485,0.0573229,0.00502558
1,4.66,0.052365,0.0481442,0.00422086
1,4.67,0.0423763,0.0389606,0.00341572
1,4.68,0.0323833,0.0297731,0.00261024
1,4.69,0.0223871,0.0205826,0.0018045
1,4.7,0.0123887,0.0113901,0.000998583
1,4.71,0.00238898,0.00219642,0.000192563
1,4.72,-0.00761095,-0.00699747,0.000613477
1,4.73,-0.0176101,-0.0161907,0.00141946
1,4.74,-0.0276075,-0.0253822,0.00222529
1,4.75,-0.0376022,-0.0345712,0.00303091
1,4.76,-0.047593,-0.0437568,0.00383622
1,4.77,-0.0575792,-0.052938,0.00464115
1,4.78,-0.0675595,-0.0621139,0.00544561
1,4.79,-0.0775331,-0.0712836,0.00624953
1,4.8,-0.087499,-0.0804462,0.00705282
1,4.81,-0.0974561,-0.0896007,0.00785541
1,4.82,-0.107403,-0.0987462,0.00865721
1,4.83,-0.11734,-0.107882,0.00945815
1,4.84,-0.127265,-0.117007,0.0102581
1,4.85,-0.137177,-0.12612,0.0110571
1,4.86,-0.147076,-0.135221,0.011855
1,4.87,-0.156959,-0.144308,0.0126516
1,4.88,-0.166827,-0.15338,0.0134471
1,4.89,-0.176679,-0.162438,0.0142411
1,4.9,-0.186512,-0.171479,0.0150338
1,4.91,-0.196327,-0.180503,0.0158249
1,4.92,-0.206123,-0.189508,0.0166144
1,4.93,-0.215898,-0.198495,0.0174023
1,4.94,-0.225651,-0.207462,0.0181885
1,4.95,-0.235381,-0.216409,0.0189728
1,4.96,-0.245089,-0.225333,0.0197553
1,4.97,-0.254771,-0.234235,0.0205357
1,4.98,-0.264428,-0.243114,0.0213141
1,4.99,-0.274059,-0.251969,0.0220904
1,5,-0.283662,-0.260798,0.0228645
1,5.01,-0.293237,-0.269601,0.0236363
1,5.02,-0.302783,-0.278377,0.0244057
1,5.03,-0.312298,-0.287125,0.0251727
1,5.04,-0.321782,-0.295845,0.0259371
1,5.05,-0.331234,-0.304535,0.026699
1,5.06,-0.340653,-0.313195,0.0274582
1,5.07,-0.350037,-0.321823,0.0282146
1,5.08,-0.359387,-0.330419,0.0289683
1,5.09,-0.368701,-0.338982,0.029719
1,5.1,-0.377978,-0.347511,0.0304667
1,5.11,-0.387217,-0.356005,0.0312115
1,5.12,-0.396417,-0.364464,0.0319531
1,5.13,-0.405578,-0.372886,0.0326915
1,5.14,-0.414698,-0.381272,0.0334266
1,5.15,-0.423777,-0.389618,0.0341584
1,5.16,-0.432813,-0.397926,0.0348867
1,5.17,-0.441806,-0.406195,0.0356116
1,5.18,-0.450755,-0.414422,0.0363329
1,5.19,-0.459659,-0.422608,0.0370506
1,5.2,-0.468517,-0.430752,0.0377646
1,5.21,-0.477328,-0.438853,0.0384748
1,5.22,-0.486091,-0.44691,0.0391812
1,5.23,-0.494806,-0.454922,0.0398836
1,5.24,-0.503471,-0.462889,0.0405821
1,5.25,-0.512085,-0.470809,0.0412765
1,5.26,-0.520649,-0.478682,0.0419667
1,5.27,-0.529161,-0.486508,0.0426528
1,5.28,-0.537619,-0.494285,0.0433346
1,5.29,-0.546024,-0.502012,0.0440121
1,5.3,-0.554374,-0.509689,0.0446851
1,5.31,-0.562669,-0.517315,0.0453537
1,5.32,-0.570908,-0.52489,0.0460178
1,5.33,-0.579089,-0.532412,0.0466773
1,5.34,-0.587213,-0.539881,0.0473321
1,5.35,-0.595278,-0.547295,0.0479821
1,5.36,-0.603283,-0.554655,0.0486274
1,5.37,-0.611228,-0.56196,0.0492678
1,5.38,-0.619112,-0.569208,0.0499033
1,5.39,-0.626934,-0.5764,0.0505337
1,5.4,-0.634693,-0.583534,0.0511592
1,5.41,-0.642389,-0.590609,0.0517795
1,5.42,-0.65002,-0.597626,0.0523946
1,5.43,-0.657587,-0.604582,0.0530045
1,5.44,-0.665088,-0.611478,0.0536091
1,5.45,-0.672522,-0.618313,0.0542084
1,5.46,-0.679889,-0.625087,0.0548022
1,5.47,-0.687188,-0.631797,0.0553905
1,5.48,-0.694418,-0.638445,0.0559733
1,5.49,-0.701579,-0.645029,0.0565505
1,5.5,-0.70867,-0.651548,0.0571221
1,5.51,-0.71569,-0.658002,0.0576879
1,5.52,-0.722638,-0.66439,0.0582479
1,5.53,-0.729514,-0.670712,0.0588022
1,5.54,-0.736317,-0.676966,0.0593505
1,5.55,-0.743046,-0.683153,0.059893
1,5.56,-0.749702,-0.689272,0.0604294
1,5.57,-0.756282,-0.695322,0.0609598
1,5.58,-0.762786,-0.701302,0.0614841
1,5.59,-0.769215,-0.707212,0.0620022
1,5.6,-0.775566,-0.713052,0.0625142
1,5.61,-0.78184,-0.71882,0.0630199
1,5.62,-0.788035,-0.724516,0.0635193
1,5.63,-0.794152,-0.73014,0.0640123
1,5.64,-0.800189,-0.73569,0.064499
1,5.65,-0.806147,-0.741168,0.0649792
1,5.66,-0.812024,-0.746571,0.0654528
1,5.67,-0.817819,-0.751899,0.06592
1,5.68,-0.823533,-0.757152,0.0663805
1,5.69,-0.829164,-0.76233,0.0668345
1,5.7,-0.834713,-0.767431,0.0672817
1,5.71,-0.840178,-0.772456,0.0677222
1,5.72,-0.845559,-0.777403,0.0681559
1,5.73,-0.850855,-0.782272,0.0685829
1,5.74,-0.856067,-0.787064,0.0690029
1,5.75,-0.861192,-0.791776,0.0694161
1,5.76,-0.866232,-0.79641,0.0698223
1,5.77,-0.871185,-0.800964,0.0702215
1,5.78,-0.876051,-0.805437,0.0706138
1,5.79,-0.880829,-0.80983,0.0709989
1,5.8,-0.88552,-0.814143,0.071377
1,5.81,-0.890121,-0.818373,0.0717479
1,5.82,-0.894634,-0.822522,0.0721116
1,5.83,-0.899057,-0.826589,0.0724681
1,5.84,-0.90339,-0.830573,0.0728174
1,5.85,-0.907633,-0.834474,0.0731594
1,5.86,-0.911785,-0.838291,0.0734941
1,5.87,-0.915846,-0.842025,0.0738214
1,5.88,-0.919816,-0.845675,0.0741414
1,5.89,-0.923693,-0.849239,0.0744539
1,5.9,-0.927478,-0.852719,0.074759
1,5.91,-0.931171,-0.856114,0.0750567
1,5.92,-0.93477,-0.859423,0.0753468
1,5.93,-0.938276,-0.862646,0.0756293
1,5.94,-0.941688,-0.865783,0.0759044
1,5.95,-0.945005,-0.868834,0.0761718
1,5.96,-0.948229,-0.871797,0.0764316
1,5.97,-0.951357,-0.874673,0.0766838
1,5.98,-0.95439,-0.877462,0.0769283
1,5.99,-0.957328,-0.880163,0.0771651
1,6,-0.96017,-0.882776,0.0773942
1,6.01,-0.962916,-0.885301,0.0776155
1,6.02,-0.965566,-0.887737,0.0778291
1,6.03,-0.968119,-0.890085,0.0780349
1,6.04,-0.970576,-0.892343,0.0782329
