h,t,exacta,forward,central,extrapolada,error_forward,error_central,error_extrapolada
1,-3.78,4.71138e-06,0.000439525,2.12549e-05,3.01317e-06,0.000434813,1.65436e-05,1.69821e-06
1,-3.77,5.06742e-06,0.000464595,2.26935e-05,3.26872e-06,0.000459527,1.76261e-05,1.7987e-06
1,-3.76,5.44924e-06,0.000490996,2.42246e-05,3.54459e-06,0.000485547,1.87753e-05,1.90465e-06
1,-3.75,5.85862e-06,0.000518794,2.58538e-05,3.84229e-06,0.000512935,1.99952e-05,2.01633e-06
1,-3.74,6.29744e-06,0.000548055,2.7587e-05,4.16344e-06,0.000541758,2.12896e-05,2.134e-06
1,-3.73,6.76773e-06,0.000578851,2.94306e-05,4.50976e-06,0.000572083,2.26629e-05,2.25797e-06
1,-3.72,7.27164e-06,0.000611254,3.13911e-05,4.88312e-06,0.000603983,2.41194e-05,2.38852e-06
1,-3.71,7.81144e-06,0.000645342,3.34754e-05,5.28548e-06,0.000637531,2.5664e-05,2.52596e-06
1,-3.7,8.38958e-06,0.000681194,3.5691e-05,5.71896e-06,0.000672805,2.73014e-05,2.67062e-06
1,-3.69,9.00864e-06,0.000718894,3.80457e-05,6.1858e-06,0.000709885,2.9037e-05,2.82284e-06
1,-3.68,9.67137e-06,0.000758528,4.05475e-05,6.68842e-06,0.000748857,3.08761e-05,2.98295e-06
1,-3.67,1.03807e-05,0.000800186,4.32052e-05,7.22938e-06,0.000789806,3.28245e-05,3.15133e-06
1,-3.66,1.11398e-05,0.000843963,4.60279e-05,7.81143e-06,0.000832824,3.48882e-05,3.32834e-06
1,-3.65,1.19518e-05,0.000889956,4.90252e-05,8.43747e-06,0.000878005,3.70734e-05,3.51437e-06
1,-3.64,1.28204e-05,0.000938268,5.22072e-05,9.11063e-06,0.000925447,3.93868e-05,3.70982e-06
1,-3.63,1.37493e-05,0.000989003,5.55847e-05,9.83422e-06,0.000975254,4.18353e-05,3.91511e-06
1,-3.62,1.47425e-05,0.00104227,5.91687e-05,1.06118e-05,0.00102753,4.44263e-05,4.13068e-06
1,-3.61,1.5804e-05,0.00109819,6.29713e-05,1.14471e-05,0.00108239,4.71672e-05,4.35695e-06
1,-3.6,1.69385e-05,0.00115688,6.70048e-05,1.23441e-05,0.00113994,5.00662e-05,4.59441e-06
1,-3.59,1.81507e-05,0.00121845,7.12823e-05,1.33072e-05,0.0012003,5.31316e-05,4.84352e-06
1,-3.58,1.94456e-05,0.00128305,7.58178e-05,1.43408e-05,0.00126361,5.63722e-05,5.10477e-06
1,-3.57,2.08285e-05,0.0013508,8.06257e-05,1.54499e-05,0.00132997,5.97972e-05,5.37867e-06
1,-3.56,2.23052e-05,0.00142184,8.57213e-05,1.66394e-05,0.00139954,6.34161e-05,5.66575e-06
1,-3.55,2.38815e-05,0.00149632,9.11207e-05,1.7915e-05,0.00147244,6.72392e-05,5.96655e-06
1,-3.54,2.5564e-05,0.00157438,9.68408e-05,1.92824e-05,0.00154882,7.12768e-05,6.28162e-06
1,-3.53,2.73593e-05,0.00165619,0.000102899,2.07477e-05,0.00162883,7.55401e-05,6.61154e-06
1,-3.52,2.92746e-05,0.00174189,0.000109315,2.23177e-05,0.00171262,8.00405e-05,6.95689e-06
1,-3.51,3.13174e-05,0.00183166,0.000116107,2.39991e-05,0.00180034,8.47901e-05,7.3183e-06
1,-3.5,3.34958e-05,0.00192567,0.000123297,2.57994e-05,0.00189217,8.98014e-05,7.69637e-06
1,-3.49,3.58183e-05,0.0020241,0.000130906,2.77266e-05,0.00198828,9.50877e-05,8.09177e-06
1,-3.48,3.82939e-05,0.00212713,0.000138957,2.97887e-05,0.00208883,0.000100663,8.50513e-06
1,-3.47,4.0932e-05,0.00223495,0.000147473,3.19949e-05,0.00219402,0.000106541,8.93715e-06
1,-3.46,4.37428e-05,0.00234777,0.000156479,3.43542e-05,0.00230403,0.000112736,9.38852e-06
1,-3.45,4.67368e-05,0.00246579,0.000166002,3.68769e-05,0.00241905,0.000119266,9.85995e-06
1,-3.44,4.99254e-05,0.00258922,0.00017607,3.95732e-05,0.00253929,0.000126145,1.03522e-05
1,-3.43,5.33203e-05,0.00271828,0.000186711,4.24544e-05,0.00266496,0.00013339,1.08659e-05
1,-3.42,5.69343e-05,0.0028532,0.000197955,4.55324e-05,0.00279627,0.000141021,1.1402e-05
1,-3.41,6.07806e-05,0.00299422,0.000209834,4.88195e-05,0.00293344,0.000149054,1.19611e-05
1,-3.4,6.48731e-05,0.00314157,0.000222382,5.2329e-05,0.0030767,0.000157509,1.25441e-05
1,-3.39,6.92268e-05,0.00329551,0.000235633,5.6075e-05,0.00322629,0.000166406,1.31518e-05
1,-3.38,7.38572e-05,0.0034563,0.000249623,6.00722e-05,0.00338244,0.000175766,1.3785e-05
1,-3.37,7.87809e-05,0.00362421,0.000264391,6.43363e-05,0.00354543,0.00018561,1.44446e-05
1,-3.36,8.40153e-05,0.0037995,0.000279976,6.88839e-05,0.00371549,0.000195961,1.51313e-05
1,-3.35,8.95787e-05,0.00398248,0.00029642,7.37325e-05,0.0038929,0.000206842,1.58462e-05
1,-3.34,9.54907e-05,0.00417342,0.000313768,7.89006e-05,0.00407793,0.000218277,1.65901e-05
1,-3.33,0.000101771,0.00437264,0.000332064,8.44076e-05,0.00427087,0.000230293,1.73638e-05
1,-3.32,0.000108443,0.00458044,0.000351357,9.02744e-05,0.004472,0.000242914,1.81684e-05
1,-3.31,0.000115527,0.00479716,0.000371696,9.65225e-05,0.00468163,0.000256169,1.90047e-05
1,-3.3,0.000123049,0.00502312,0.000393134,0.000103175,0.00490007,0.000270085,1.98736e-05
1,-3.29,0.000131032,0.00525866,0.000415724,0.000110256,0.00512762,0.000284692,2.07761e-05
1,-3.28,0.000139505,0.00550413,0.000439525,0.000117792,0.00536463,0.000300019,2.17132e-05
1,-3.27,0.000148494,0.00575991,0.000464595,0.000125809,0.00561141,0.0003161,2.26857e-05
1,-3.26,0.00015803,0.00602635,0.000490996,0.000134335,0.00586832,0.000332966,2.36948e-05
1,-3.25,0.000168143,0.00630385,0.000518794,0.000143401,0.0061357,0.000350651,2.47413e-05
1,-3.24,0.000178865,0.00659279,0.000548055,0.000153039,0.00641393,0.00036919,2.58263e-05
1,-3.23,0.000190231,0.00689359,0.000578851,0.000163281,0.00670336,0.00038862,2.69506e-05
1,-3.22,0.000202277,0.00720667,0.000611254,0.000174162,0.00700439,0.000408977,2.81154e-05
1,-3.21,0.000215041,0.00753243,0.000645342,0.00018572,0.00731739,0.000430301,2.93215e-05
1,-3.2,0.000228562,0.00787134,0.000681194,0.000197992,0.00764278,0.000452632,3.05699e-05
1,-3.19,0.000242883,0.00822384,0.000718894,0.000211021,0.00798095,0.000476011,3.18616e-05
1,-3.18,0.000258046,0.00859038,0.000758528,0.000224849,0.00833234,0.000500482,3.31976e-05
1,-3.17,0.000274099,0.00897146,0.000800186,0.00023952,0.00869736,0.000526087,3.45788e-05
1,-3.16,0.000291089,0.00936754,0.000843963,0.000255083,0.00907645,0.000552874,3.60062e-05
1,-3.15,0.000309068,0.00977914,0.000889956,0.000271587,0.00947007,0.000580889,3.74806e-05
1,-3.14,0.000328088,0.0102068,0.000938268,0.000289085,0.00987867,0.00061018,3.9003e-05
1,-3.13,0.000348205,0.0106509,0.000989003,0.00030763,0.0103027,0.000640798,4.05743e-05
1,-3.12,0.000369478,0.0111122,0.00104227,0.000327282,0.0107427,0.000672795,4.21954e-05
1,-3.11,0.000391968,0.0115911,0.00109819,0.000348101,0.0111991,0.000706223,4.3867e-05
1,-3.1,0.00041574,0.0120881,0.00115688,0.00037015,0.0116724,0.000741137,4.559e-05
1,-3.09,0.000440861,0.012604,0.00121845,0.000393496,0.0121631,0.000777593,4.73651e-05
1,-3.08,0.000467401,0.0131392,0.00128305,0.000418208,0.0126718,0.00081565,4.91932e-05
1,-3.07,0.000495435,0.0136943,0.0013508,0.00044436,0.0131989,0.000855367,5.10749e-05
1,-3.06,0.000525039,0.01427,0.00142184,0.000472028,0.013745,0.000896805,5.30109e-05
1,-3.05,0.000556295,0.0148669,0.00149632,0.000501294,0.0143106,0.000940026,5.50018e-05
1,-3.04,0.000589288,0.0154857,0.00157438,0.00053224,0.0148964,0.000985096,5.70481e-05
1,-3.03,0.000624106,0.0161269,0.00165619,0.000564956,0.0155028,0.00103208,5.91505e-05
1,-3.02,0.000660842,0.0167913,0.00174189,0.000599533,0.0161305,0.00108105,6.13092e-05
1,-3.01,0.000699592,0.0174795,0.00183166,0.000636068,0.0167799,0.00113207,6.35248e-05
1,-3,0.000740459,0.0181922,0.00192567,0.000674661,0.0174518,0.00118521,6.57976e-05
1,-2.99,0.000783547,0.0189302,0.0020241,0.000715419,0.0181466,0.00124055,6.81278e-05
1,-2.98,0.000828968,0.0196941,0.00212713,0.000758452,0.0188651,0.00129816,7.05155e-05
1,-2.97,0.000876836,0.0204846,0.00223495,0.000803875,0.0196078,0.00135812,7.2961e-05
1,-2.96,0.000927272,0.0213026,0.00234777,0.000851808,0.0203753,0.0014205,7.54641e-05
1,-2.95,0.000980402,0.0221487,0.00246579,0.000902377,0.0211683,0.00148539,7.80249e-05
1,-2.94,0.00103636,0.0230238,0.00258922,0.000955714,0.0219875,0.00155286,8.0643e-05
1,-2.93,0.00109527,0.0239286,0.00271828,0.00101196,0.0228333,0.00162301,8.33183e-05
1,-2.92,0.0011573,0.0248639,0.0028532,0.00107125,0.0237066,0.00169591,8.60504e-05
1,-2.91,0.00122257,0.0258305,0.00299422,0.00113373,0.0246079,0.00177165,8.88387e-05
1,-2.9,0.00129125,0.0268292,0.00314157,0.00119957,0.025538,0.00185032,9.16827e-05
1,-2.89,0.00136351,0.0278609,0.00329551,0.00126892,0.0264974,0.00193201,9.45815e-05
1,-2.88,0.0014395,0.0289263,0.0034563,0.00134196,0.0274868,0.00201681,9.75343e-05
1,-2.87,0.0015194,0.0300264,0.00362421,0.00141886,0.028507,0.00210481,0.00010054
1,-2.86,0.0016034,0.031162,0.0037995,0.0014998,0.0295586,0.00219611,0.000103598
1,-2.85,0.00169168,0.032334,0.00398248,0.00158497,0.0306423,0.0022908,0.000106706
1,-2.84,0.00178444,0.0335432,0.00417342,0.00167458,0.0317587,0.00238898,0.000109863
1,-2.83,0.00188189,0.0347905,0.00437264,0.00176883,0.0329086,0.00249074,0.000113068
1,-2.82,0.00198425,0.0360768,0.00458044,0.00186793,0.0340926,0.0025962,0.000116318
1,-2.81,0.00209172,0.0374031,0.00479716,0.00197211,0.0353114,0.00270544,0.000119612
1,-2.8,0.00220455,0.0387702,0.00502312,0.0020816,0.0365657,0.00281857,0.000122947
1,-2.79,0.00232296,0.0401791,0.00525866,0.00219664,0.0378562,0.00293569,0.000126322
1,-2.78,0.00244722,0.0416307,0.00550413,0.00231749,0.0391835,0.00305691,0.000129733
1,-2.77,0.00257758,0.0431259,0.00575991,0.0024444,0.0405484,0.00318233,0.000133178
1,-2.76,0.0027143,0.0446657,0.00602635,0.00257764,0.0419514,0.00331205,0.000136654
1,-2.75,0.00285766,0.046251,0.00630385,0.0027175,0.0433934,0.00344619,0.000140158
1,-2.74,0.00300795,0.0478828,0.00659279,0.00286427,0.0448749,0.00358484,0.000143687
1,-2.73,0.00316548,0.0495621,0.00689359,0.00301824,0.0463966,0.00372812,0.000147236
1,-2.72,0.00333054,0.0512897,0.00720667,0.00317974,0.0479591,0.00387613,0.000150803
1,-2.71,0.00350346,0.0530666,0.00753243,0.00334908,0.0495632,0.00402897,0.000154382
1,-2.7,0.00368457,0.0548939,0.00787134,0.0035266,0.0512093,0.00418677,0.00015797
1,-2.69,0.00387422,0.0567724,0.00822384,0.00371265,0.0528982,0.00434962,0.000161562
1,-2.68,0.00407275,0.0587032,0.00859038,0.0039076,0.0546305,0.00451763,0.000165154
1,-2.67,0.00428055,0.0606872,0.00897146,0.00411181,0.0564067,0.00469091,0.00016874
1,-2.66,0.00449798,0.0627254,0.00936754,0.00432567,0.0582274,0.00486956,0.000172316
1,-2.65,0.00472545,0.0648187,0.00977914,0.00454957,0.0600932,0.00505369,0.000175874
1,-2.64,0.00496335,0.0669681,0.0102068,0.00478394,0.0620047,0.0052434,0.000179411
1,-2.63,0.00521212,0.0691745,0.0106509,0.0050292,0.0639624,0.0054388,0.000182918
